Bedriftsnavn,Adresse,Postnummer,Poststed,Godkjenningstyper,Organisasjonsnummer,Godkjenningsnummer
NST Gardermoen MC AS,Nannestadveien 456,2032,MAURA,MOTORSYKKELOGMOPED,966937157,25221
AUTOTAKST Petter Weberg,FLADEBYVEIEN 4,1746,SKJEBERG,SKADEVERKSTED02,995147009,31588
Mobile Moss AS,Buen 5,1528,Moss,"BILVERKSTED01, KONTROLLORGAN01",931963708,542
GJERSTAD AUTO AS,BROKELANDSHEIA NORD 3,4993,SUNDEBRU,"BILVERKSTED01, KONTROLLORGAN01",922358117,31127
ELEKTRONISK VERKSTED BARTOSZ PICHER,ONØYVEIEN 8,8766,LURØY,"BILVERKSTED01B, KONTROLLORGAN01B",916261969,31610
Jætåsen Bil AS,Hyllaveien 4,7670,INDERØY,"BILVERKSTED01, KONTROLLORGAN01",984720858,8664
Autobjørn AS,Cecilie Thoresens vei 7,1153,OSLO,"BILVERKSTED01, KONTROLLORGAN01",810359862,1404
Sveio Auto AS,Leitevegen 14,5550,SVEIO,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED01",920606229,6372
FINNSKOGEN KRO OG MOTELL OG EIENDOM AS,Finnskogveien 2468,2256,GRUE FINNSKOG,BILVERKSTED01,976258185,29948
Bil-Service Personbiler AS  Sandefjord,Nygårdsveien 79,3221,SANDEFJORD,"BILVERKSTED01B, KONTROLLORGAN01",975933601,4715
TRUCKNOR ROGALAND AS avd. Forus,Moseidsletta 101,4033,STAVANGER,"BILVERKSTED03, KONTROLLORGAN03",981925157,30193
EUROBIL AS,TRONDHEIMSVEIEN 436B,962,OSLO,"BILVERKSTED01B, KONTROLLORGAN01B",984070934,30069
NAF Senter Oslo,Eikenga 9,579,OSLO,"BILVERKSTED01B, KONTROLLORGAN01B",987372540,1801
TRAILER-BYGG A/S,Nordmoveien 49,3534,SOKNA,PABYGGER,936153844,3341
GREP GRENLAND AS,Dronning Mrgretesvei 12,3961,STATHELLE,HJUL,990060460,31773
DAUGSTAD MOTORTEKNIKK AS,Stokkelandsvegen 296,6390,VESTNES,"BILVERKSTED01, KONTROLLORGAN01B",926335219,30540
HANDICARE AS,Stanseveien 27,976,OSLO,PABYGGER,965395830,1663
Snap Drive Strømmen,Fjellhamarveien 5,2010,Strømmen,"BILVERKSTED01, KONTROLLORGAN01",971585188,1004
